r_m,w_mps,n,alpha,sigma_mps
0.0,1.29525,4,0.28867513459481287,0.39739535218408684
0.3,2.43925,16,0.5773502691896257,0.39389793162564857
0.6,2.3860625,16,0.5773502691896257,0.39085764552887836
0.8999999999999999,0.5665,48,1.0,0.38216263623705227
1.2,0.39357499999999995,40,0.9128709291752769,0.299381168227159
1.5,0.36775,16,0.5773502691896257,0.31263704771640566
1.7999999999999998,0.23753333333333335,15,0.5590169943749475,0.2401629530044062
2.1,0.12785714285714286,14,0.5400617248673217,0.3224232505914423
2.4,0.0,0,0.0,0.3224232505914423
2.6999999999999997,0.0,0,0.0,0.37953030992140313
3.0,0.14529999999999998,20,0.6454972243679028,0.37953030992140313
3.3,0.028,6,0.3535533905932738,0.3762890826381778
